rank,legal_name,approval_count,approval_rate,case_count,denied_count,certified_positions,industry,naics_code,hq_location,socal_worksites,aliases
70,"BAIN & COMPANY, INC.",1,1.0000,1,0,1,"Professional, scientific & technical services",541611,"Boston, MA",LOS ANGELES,"BAIN & COMPANY, INC."
71,BALLENTINE ARCHITECTS STUDIO INC,1,1.0000,1,0,1,"Professional, scientific & technical services",541310,"LOS ANGELES, CA",Los Angeles,BALLENTINE ARCHITECTS STUDIO INC
72,"Becton, Dickinson and Company",1,1.0000,1,0,1,Manufacturing,339112,"Franklin Lakes, NJ",San Diego,"Becton, Dickinson and Company"
73,"Berry Petroleum Company, LLC",1,1.0000,1,0,1,"Mining, quarrying & oil and gas",2111,"Dallas, TX",Bakersfield,"Berry Petroleum Company, LLC"
74,Bionexus Consulting LLC,1,1.0000,1,0,1,"Professional, scientific & technical services",54171,"San Diego, CA",San Diego,Bionexus Consulting LLC
75,"Brightside Benefit, Inc.",1,1.0000,1,0,1,Finance & insurance,523930,"Chandler, AZ",Irvine,"Brightside Benefit, Inc."
76,"Bureau Veritas North America, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",54138,"Houston, TX",Mojave,"Bureau Veritas North America, Inc."
77,BYD Coach and Bus LLC,1,1.0000,1,0,1,Wholesale trade,423110,"Pasadena, CA",Lancaster,BYD Coach and Bus LLC
78,"C&O Manufacturing, Inc.",1,1.0000,1,0,1,Manufacturing,337121,"Pico Rivera, CA",Pico Rivera,"C&O Manufacturing, Inc."
79,Cadena Platforms LLC,1,1.0000,1,0,1,Information,513210,"El Segundo, CA",El Segundo,Cadena Platforms LLC
80,California Department of Corrections and Rehabilitation,1,1.0000,1,0,1,Public administration,92214,"Elk Grove, CA",San Luis Obispo,California Department of Corrections and Rehabilitation
81,"Cape Cod Healthcare, Inc.",1,1.0000,1,0,1,Health care & social assistance,622110,"Hyannis, MA",Santa Fe Springs,"Cape Cod Healthcare, Inc."
82,Celesdata Inc.,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Irving, TX",Temecula,Celesdata Inc.
83,"Cellics Therapeutics, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541714,"San Diego, CA",San Diego,"Cellics Therapeutics, Inc."
84,"Centiva Capital, LP",1,1.0000,1,0,1,Finance & insurance,523920,"New York, NY",El Segundo,"Centiva Capital, LP"
85,Certain Satisfaction International Education LLC,1,1.0000,1,0,1,Educational services,611710,"San Diego, CA",San Diego,Certain Satisfaction International Education LLC
86,Chagee CA LLC,1,1.0000,1,0,1,Accommodation & food services,722515,"Irvine, CA",Irvine,Chagee CA LLC
87,Chen & Fan Accountancy Corporation,1,1.0000,1,0,1,"Professional, scientific & technical services",541211,"San Jose, CA",El Monte,Chen & Fan Accountancy Corporation
88,Children's Hospital Los Angeles,1,1.0000,1,0,1,Health care & social assistance,622110,"Los Angeles, CA",Los Angeles,Children's Hospital Los Angeles
89,Claremont McKenna College,1,1.0000,1,0,1,Educational services,611310,"Claremont, CA",Claremont,Claremont McKenna College
90,"Clari, Inc.",1,1.0000,1,0,1,Information,518210,"Sunnyvale, CA",Newbury Park,"Clari, Inc."
91,"CNM, LLP",1,1.0000,1,0,1,"Professional, scientific & technical services",54121,"Woodland Hills, CA",Woodland Hills,"CNM, LLP"
92,"CompassX Group, Inc. d/b/a CompassX Consulting",1,1.0000,1,0,1,"Professional, scientific & technical services",541618,"Irvine, CA",Carlsbad,"CompassX Group, Inc. d/b/a CompassX Consulting"
93,"Comprehensive Psychiatric Solutions, P.C.",1,1.0000,1,0,1,Health care & social assistance,621112,"Troy, MI",Ventura,"Comprehensive Psychiatric Solutions, P.C."
94,Conjecture Consulting INC,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"IRVINE, CA",San Diego,Conjecture Consulting INC
95,Conrad N. Hilton Foundation,1,1.0000,1,0,1,Other services,813211,"Westlake Village, CA",Westlake Village,Conrad N. Hilton Foundation
96,"Continental Autonomous Mobility US, LLC",1,1.0000,1,0,1,Manufacturing,3363,"Auburn Hills, MI",Carpinteria,"Continental Autonomous Mobility US, LLC"
