rank,legal_name,approval_count,approval_rate,case_count,denied_count,certified_positions,industry,naics_code,hq_location,socal_worksites,aliases
207,"The Fountain Group, LLC",1,1.0000,1,0,1,"Professional, scientific & technical services",5416,"Tampa, FL",Temecula,"The Fountain Group, LLC"
208,"The Wonderful Company, LLC",1,1.0000,1,0,1,Manufacturing,31199,"Los Angeles, CA",Shafter,"The Wonderful Company, LLC"
209,"THINKLUSIVE, INC.",1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"MONMOUTH JUNCTION, NJ",IRVINE,"THINKLUSIVE, INC."
210,Thoughtstream Enterprises LLC,1,1.0000,1,0,1,Information,511210,"San Juan Capistrano, CA",San Juan Capistrano,Thoughtstream Enterprises LLC
211,Topgolf Callaway Brands Corp.,1,1.0000,1,0,1,Manufacturing,339920,"Carlsbad, CA",CARLSBAD,Topgolf Callaway Brands Corp.
212,Tubis Technology Inc.,1,1.0000,1,0,1,Manufacturing,334413,"San Diego, CA",San Diego,Tubis Technology Inc.
213,UMG Recordings Inc.,1,1.0000,1,0,1,Information,51223,"New York, NY",Hollywood,UMG Recordings Inc.
214,Universal Electronics Inc.,1,1.0000,1,0,1,Manufacturing,334512,"Scottsdale, AZ",SANTA ANA,Universal Electronics Inc.
215,University Corporation for Atmospheric Research,1,1.0000,1,0,1,"Professional, scientific & technical services",541715,"Boulder, CO",Carlsbad,University Corporation for Atmospheric Research
216,UNIVERSITY OF NORTH TEXAS,1,1.0000,1,0,1,Educational services,611310,"Denton, TX",Pasadena,UNIVERSITY OF NORTH TEXAS
217,University of San Diego,1,1.0000,1,0,1,Educational services,611310,"San Diego, CA",San Diego,University of San Diego
218,University of Wisconsin System,1,1.0000,1,0,1,Educational services,611310,"Madison, WI",San Diego,University of Wisconsin System
219,Veradigm LLC,1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Raleigh, NC",Lake Elsinore,Veradigm LLC
220,"VF Outdoor, LLC",1,1.0000,1,0,1,Manufacturing,31499,"Costa Mesa, CA",Costa Mesa,"VF Outdoor, LLC"
221,"Vitu, Inc.",1,1.0000,1,0,1,Information,5182,"Agoura Hills, CA",Agoura Hills,"Vitu, Inc."
222,"Vividion Therapeutics, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",54138,"San Diego, CA",San Diego,"Vividion Therapeutics, Inc."
223,"VRGL, Inc.",1,1.0000,1,0,1,Finance & insurance,523940,"Dallas, TX",Pasadena,"VRGL, Inc."
224,WALT DISNEY PICTURES,1,1.0000,1,0,1,Information,51211,"BURBANK, CA",BURBANK,WALT DISNEY PICTURES
225,"WHOVA, INC.",1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"SAN DIEGO, CA",San Diego,"WHOVA, INC."
226,"WIN.IT America, Inc.",1,1.0000,1,0,1,"Professional, scientific & technical services",541614,"City of Industry, CA",City of Industry,"WIN.IT America, Inc."
227,Wonderful Citrus Packing LLC,1,1.0000,1,0,1,"Agriculture, forestry, fishing & hunting",115116,"Delano, CA",Delano,Wonderful Citrus Packing LLC
228,"World Wide Technology Holding Company, LLC",1,1.0000,1,0,1,"Professional, scientific & technical services",541511,"Maryland Heights, MO",Costa Mesa,"World Wide Technology Holding Company, LLC"
229,"ZICO RISING, INC",1,1.0000,1,0,1,Wholesale trade,42449,"SEAL BEACH, CA",SEAL BEACH,"ZICO RISING, INC"
230,"ZPMC North America, Inc.",1,1.0000,1,0,1,Other services,811310,"Irvine, CA",Irvine,"ZPMC North America, Inc."
